"id_str","text"
"1274646929926787073","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274646897991356417","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274646858124496897","RT @AnakLolina: Serangan anak buahnya yg sakit hati krn ingkar janji seperti berkah tersendiri buat Novel Baswedan. Betapa tidak, dari sini drama besar di mulai, menyerang pemerintahan Jokowi &amp; menutupi kasus pembunuhan.

Dukungan kaum DUNGU, PESAKITAN membuat #RekayasaDidzolimi berjalan baik. https://t.co/z9lAccofvX"
"1274646659092242432","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274646432583053313","RT @kompascom: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan | #HBD59Jokowi     https://t.co/DRwn3FlfIp"
"1274646104299040773","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274645700911837184","RT @TirtoID: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan.

https://t.co/vlyVP5YBnu"
"1274645444023349248","[BREAKING] Usman Hamid (Amnesty International Indonesia) menyatakan, ""Penyelidikan kasus Novel Baswedan tidak secara tanggap dilakukan. Investigasi tertutup, pembentukan TGPF Polri yang diduga menyalahgunakan proses, hingga penyelidikan yang parsial menjadi akar-akar masalah."" https://t.co/ohs5gHR7lB"
"1274645337265721345","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274645268336480256","RT @dikisahkeun: @kepersekutuanm @brizcky98 @dapppoy @txtdrberseragam Ngelacak begituan aja cepet, semangat 45, kasus kasus dari zaman orba, sampe kasus novel baswedan aja lamaaa bet, kaga jelas lagi."
"1274645199705092096","RT @KompasTV: Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
"1274645064447168514","RT @__GoldenAngel_: Kurang apalagi sih bos novel Pak Jokowi dng situ?

Jokowi sdh menetapkan target khusus pada Polri agar dpt menuntaskan kasus tersebut dalam hitungan hari,biaya pengobatan dibayarin

Maruk sekali jadi orang lu !!
https://t.co/VKcuxafFXz"
